collect_date,sample_type,collect_bottle,name,ISCO_date,ISCO_time
6/17/2022,outlet,1,52,6/13/2022,11:00
6/17/2022,outlet,2,104,6/13/2022,17:00
6/17/2022,outlet,3,58,6/13/2022,23:00
6/17/2022,outlet,4,55,6/14/2022,5:00
6/17/2022,outlet,5,116,6/14/2022,11:00
6/17/2022,outlet,6,123,6/14/2022,17:00
6/17/2022,outlet,7,95,6/14/2022,23:00
6/17/2022,outlet,8,100,6/15/2022,5:00
6/17/2022,outlet,11,109,6/15/2022,23:00
6/17/2022,outlet,12,43,6/16/2022,5:00
6/17/2022,outlet,13,46,6/16/2022,11:00
6/17/2022,outlet,14,107,6/16/2022,17:00
6/17/2022,outlet,15,106,6/16/2022,23:00
6/17/2022,outlet,16,117,6/17/2022,5:00
6/22/2022,inlet,1,59,6/17/2022,11:00
6/22/2022,DI,2,101,6/17/2022,17:00
6/22/2022,DI,3,62,6/17/2022,23:00
6/22/2022,inlet,4,96,6/18/2022,5:00
6/22/2022,DI,5,112,6/18/2022,11:00
6/22/2022,inlet,7,103,6/18/2022,23:00
6/22/2022,inlet,8,49,6/19/2022,5:00
6/22/2022,inlet,9,108,6/19/2022,11:00
6/22/2022,inlet,10,44,6/19/2022,17:00
6/22/2022,inlet,11,102,6/19/2022,23:00
6/22/2022,inlet,12,98,6/20/2022,5:00
6/22/2022,inlet,13,51,6/20/2022,11:00
6/22/2022,inlet,14,111,6/20/2022,17:00
6/22/2022,inlet,17,121,6/21/2022,11:00
6/22/2022,inlet,19,115,6/21/2022,23:00
6/22/2022,inlet,20,57,6/22/2022,5:00
6/22/2022,outlet,1,41,6/17/2022,11:00
6/22/2022,outlet,2,60,6/17/2022,17:00
6/22/2022,outlet,3,47,6/17/2022,23:00
6/22/2022,outlet,4,99,6/18/2022,5:00
6/22/2022,outlet,5,54,6/18/2022,11:00
6/22/2022,outlet,6,124,6/18/2022,17:00
6/22/2022,outlet,7,13,6/18/2022,23:00
6/22/2022,outlet,8,45,6/19/2022,5:00
6/22/2022,outlet,9,118,6/19/2022,11:00
6/22/2022,outlet,10,97,6/19/2022,17:00
6/22/2022,outlet,11,126,6/19/2022,23:00
6/22/2022,outlet,12,61,6/20/2022,5:00
6/22/2022,outlet,13,2,6/20/2022,11:00
6/22/2022,outlet,14,50,6/20/2022,17:00
6/22/2022,outlet,15,8,6/20/2022,23:00
6/22/2022,outlet,16,15,6/21/2022,5:00
6/22/2022,outlet,17,56,6/21/2022,11:00
6/22/2022,outlet,18,53,6/21/2022,17:00
6/22/2022,outlet,19,38,6/21/2022,23:00
6/22/2022,outlet,20,200,6/22/2022,5:00
7/8/2022,inlet,1,201,7/5/2022,11:00
7/8/2022,inlet,2,1,7/5/2022,17:00
7/8/2022,inlet,3,17,7/5/2022,23:00
7/8/2022,inlet,4,42,7/6/2022,5:00
7/8/2022,inlet,5,202,7/6/2022,11:00
7/8/2022,inlet,6,203,7/6/2022,17:00
7/8/2022,inlet,7,7,7/6/2022,23:00
7/8/2022,inlet,8,204,7/7/2022,5:00
7/8/2022,inlet,9,205,7/7/2022,11:00
7/8/2022,inlet,10,206,7/7/2022,17:00
7/8/2022,inlet,11,207,7/7/2022,23:00
7/8/2022,inlet,12,208,7/8/2022,5:00
7/8/2022,outlet,1,209,7/5/2022,11:00
7/8/2022,outlet,2,210,7/5/2022,17:00
7/8/2022,outlet,3,211,7/5/2022,23:00
7/8/2022,outlet,4,212,7/6/2022,5:00
7/8/2022,outlet,5,213,7/6/2022,11:00
7/8/2022,outlet,6,214,7/6/2022,17:00
7/8/2022,outlet,7,186,7/6/2022,23:00
7/8/2022,outlet,8,215,7/7/2022,5:00
7/8/2022,outlet,9,216,7/7/2022,11:00
7/8/2022,outlet,10,217,7/7/2022,17:00
7/8/2022,outlet,11,218,7/7/2022,23:00
7/8/2022,outlet,12,219,7/8/2022,5:00
